Id,avg_steps
1503960366,11640.526315789473
1624580081,4226.263157894737
1644430081,9274.8
1844505072,3640.5833333333335
1927972279,2180.8333333333335
2022484408,12174.916666666666
2026352035,3392.75
2320127002,3138.4166666666665
2347167796,9800.066666666668
2873212765,6636.583333333333
2891001357,773.625
3372868164,6127.5
3977333714,8663.916666666666
4020332650,5776.59375
4057192912,1887.21875
4319703577,7820.583333333333
4388161847,0
4445114986,4293.066666666667
4558609924,5785.25
4702921684,7943.4
5553957443,8354.75
5577150313,8608.181818181818
6117666160,8248.6
6290855005,1618.1
6391747486,1336.888888888889
6775888955,5559
6962181067,12639.714285714286
7007744171,12260.333333333334
7086361926,6103.916666666667
8053475328,14844.363636363636
8253242879,2389.9166666666665
8378563200,8135.25
8583815059,3045.5
8792009665,3094.9166666666665
8877689391,17417.083333333332
